Wikidata Link;Wikidata Label;Database
http://www.wikidata.org/entity/Q119292595;Sappho fr. 171 Voigt;171
http://www.wikidata.org/entity/Q119292597;Sappho fr. 172 Voigt;172
http://www.wikidata.org/entity/Q119292599;Sappho fr. 173 Voigt;173
http://www.wikidata.org/entity/Q119292601;Sappho fr. 174 Voigt;174
http://www.wikidata.org/entity/Q119292605;Sappho fr. 175 Voigt;175
http://www.wikidata.org/entity/Q119292607;Sappho fr. 176 Voigt;176
http://www.wikidata.org/entity/Q119292608;Sappho fr. 177 Voigt;177
http://www.wikidata.org/entity/Q119292610;Sappho fr. 179 Voigt;179
http://www.wikidata.org/entity/Q119292611;Sappho fr. 180 Voigt;180
http://www.wikidata.org/entity/Q119292614;Sappho fr. 181 Voigt;181
http://www.wikidata.org/entity/Q119292615;Sappho fr. 182 Voigt;182
http://www.wikidata.org/entity/Q119292617;Sappho fr. 183 Voigt;183
http://www.wikidata.org/entity/Q119292621;Sappho fr. 184 Voigt;184
http://www.wikidata.org/entity/Q119292623;Sappho fr. 185 Voigt;185
http://www.wikidata.org/entity/Q119292625;Sappho fr. 186 Voigt;186
http://www.wikidata.org/entity/Q119292628;Sappho fr. 187 Voigt;187
http://www.wikidata.org/entity/Q119292630;Sappho fr. 188 Voigt;188
http://www.wikidata.org/entity/Q119292633;Sappho fr. 189 Voigt;189
http://www.wikidata.org/entity/Q119292635;Sappho fr. 190 Voigt;190
http://www.wikidata.org/entity/Q119292637;Sappho fr. 191 Voigt;191
http://www.wikidata.org/entity/Q119292638;Sappho fr. 192 Voigt;192
http://www.wikidata.org/entity/Q119292647;Sappho PKöln 21351,1–8;Sappho_21351,1–8
http://www.wikidata.org/entity/Q119292648;Sappho PKöln inv. 21351+21376r (~ Fr. 58 Voigt);Sappho_21351,9–12+21376r,1–8
